origin_year,draw_id,horizon,indicator,value
1985,39,1,trust_media_pct,24.850924373559362
1985,39,1,union_membership_rate,10.205057607322015
1985,39,1,vep_turnout_pct,26.997971954160338
1985,40,1,trust_media_pct,24.860866790714933
1985,40,1,union_membership_rate,10.208918864987199
1985,40,1,vep_turnout_pct,27.013644555431554
1985,41,1,trust_media_pct,24.88611747029671
1985,41,1,union_membership_rate,10.215157423691362
1985,41,1,vep_turnout_pct,27.150879117034798
1985,42,1,trust_media_pct,24.902694419664222
1985,42,1,union_membership_rate,10.232184738118198
1985,42,1,vep_turnout_pct,27.193722305196047
1985,43,1,trust_media_pct,24.906673416623292
1985,43,1,union_membership_rate,10.237256717089643
1985,43,1,vep_turnout_pct,27.278398547279878
1985,44,1,trust_media_pct,24.91478887782761
1985,44,1,union_membership_rate,10.24229626229124
1985,44,1,vep_turnout_pct,27.358440777895478
1985,45,1,trust_media_pct,24.95375118810874
1985,45,1,union_membership_rate,10.247690166157824
1985,45,1,vep_turnout_pct,27.40696418175913
1985,46,1,trust_media_pct,24.965856042436755
1985,46,1,union_membership_rate,10.248933220529421
1985,46,1,vep_turnout_pct,27.43737780239705
1985,47,1,trust_media_pct,24.977431895655887
1985,47,1,union_membership_rate,10.256428759601079
1985,47,1,vep_turnout_pct,27.47650745048581
1985,48,1,trust_media_pct,25.023822267091557
1985,48,1,union_membership_rate,10.259477400737854
1985,48,1,vep_turnout_pct,27.716460475930624
1985,49,1,trust_media_pct,25.058336558735856
1985,49,1,union_membership_rate,10.262075360590853
1985,49,1,vep_turnout_pct,27.762293994276643
1985,50,1,trust_media_pct,25.06805745486188
1985,50,1,union_membership_rate,10.262767661797474
1985,50,1,vep_turnout_pct,27.84276103674814
1985,51,1,trust_media_pct,25.06858928072775
1985,51,1,union_membership_rate,10.265539135188124
1985,51,1,vep_turnout_pct,27.950909931170116
1985,52,1,trust_media_pct,25.079780280346903
1985,52,1,union_membership_rate,10.270004785516884
1985,52,1,vep_turnout_pct,28.07667053766127
1985,53,1,trust_media_pct,25.087956030490222
1985,53,1,union_membership_rate,10.271852912135586
1985,53,1,vep_turnout_pct,28.52519130799476
1985,54,1,trust_media_pct,25.138398387230204
1985,54,1,union_membership_rate,10.276209874940939
1985,54,1,vep_turnout_pct,28.63241686561488
1985,55,1,trust_media_pct,25.167224258615065
1985,55,1,union_membership_rate,10.278102842086248
1985,55,1,vep_turnout_pct,28.651294310861378
1985,56,1,trust_media_pct,25.181921063433435
1985,56,1,union_membership_rate,10.286035208090665
1985,56,1,vep_turnout_pct,28.73792720127144
1985,57,1,trust_media_pct,25.183213362739558
1985,57,1,union_membership_rate,10.28682697683383
1985,57,1,vep_turnout_pct,28.75812121046215
1985,58,1,trust_media_pct,25.212341131156105
1985,58,1,union_membership_rate,10.29294950050206
1985,58,1,vep_turnout_pct,28.940127664807342
1985,59,1,trust_media_pct,25.221515277164965
1985,59,1,union_membership_rate,10.293148040719311
1985,59,1,vep_turnout_pct,29.015437069526588
1985,60,1,trust_media_pct,25.226441921895223
1985,60,1,union_membership_rate,10.294156630671514
1985,60,1,vep_turnout_pct,29.29617605741952
1985,61,1,trust_media_pct,25.23383610550325
1985,61,1,union_membership_rate,10.295963248579767
1985,61,1,vep_turnout_pct,29.447308243741208
1985,62,1,trust_media_pct,25.277678465687114
1985,62,1,union_membership_rate,10.2965692075048
1985,62,1,vep_turnout_pct,29.465950843600115
1985,63,1,trust_media_pct,25.285627577977436
1985,63,1,union_membership_rate,10.30708938810701
1985,63,1,vep_turnout_pct,29.5463410434766
1985,64,1,trust_media_pct,25.288226598117795
1985,64,1,union_membership_rate,10.307954798282331
1985,64,1,vep_turnout_pct,29.70659116557082
1985,65,1,trust_media_pct,25.335442023997484
1985,65,1,union_membership_rate,10.312194227170709
1985,65,1,vep_turnout_pct,29.898527736206216
1985,66,1,trust_media_pct,25.340970164411548
1985,66,1,union_membership_rate,10.313162994823436
1985,66,1,vep_turnout_pct,29.932134382905804
1985,67,1,trust_media_pct,25.34656553908979
1985,67,1,union_membership_rate,10.313308149324476
1985,67,1,vep_turnout_pct,29.961899513183614
1985,68,1,trust_media_pct,25.373066726351936
1985,68,1,union_membership_rate,10.317514525751347
1985,68,1,vep_turnout_pct,30.002923324083536
1985,69,1,trust_media_pct,25.44953223849255
1985,69,1,union_membership_rate,10.31847840722879
1985,69,1,vep_turnout_pct,30.022263349951626
1985,70,1,trust_media_pct,25.484183845246182
1985,70,1,union_membership_rate,10.318660397339134
1985,70,1,vep_turnout_pct,30.039081289159828
1985,71,1,trust_media_pct,25.502557121318812
1985,71,1,union_membership_rate,10.3195623220586
1985,71,1,vep_turnout_pct,30.098894510755144
1985,72,1,trust_media_pct,25.539061863794718
1985,72,1,union_membership_rate,10.320300667683261
1985,72,1,vep_turnout_pct,30.460227036465923
1985,73,1,trust_media_pct,25.57748322243019
1985,73,1,union_membership_rate,10.321912216396175
1985,73,1,vep_turnout_pct,30.60841155289033
1985,74,1,trust_media_pct,25.580748400015977
1985,74,1,union_membership_rate,10.335380256383626
1985,74,1,vep_turnout_pct,30.91306858399456
1985,75,1,trust_media_pct,25.596696913180573
1985,75,1,union_membership_rate,10.338823379621848
1985,75,1,vep_turnout_pct,31.05450121166492
1985,76,1,trust_media_pct,25.604062378415783
1985,76,1,union_membership_rate,10.341541702080868
1985,76,1,vep_turnout_pct,31.202358880633454
