id,year,value,unit,source,vintage,indicator
house_polarization_dw,1894,0.852,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1896,0.839,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1898,0.802,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1900,0.808,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1902,0.948,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1904,0.839,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1906,0.9175,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1908,0.7969999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1910,0.734,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1912,0.7045,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1914,0.7284999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1916,0.712,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1918,0.729,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1920,0.764,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1922,0.692,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1924,0.666,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1926,0.6555,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1928,0.641,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1930,0.6265000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1932,0.5894999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
