indicator,horizon,truth
union_membership_rate,1,13.0
union_membership_rate,2,12.5
union_membership_rate,3,12.4
union_membership_rate,4,12.3
union_membership_rate,5,12.3
union_membership_rate,6,11.9
union_membership_rate,7,11.9
union_membership_rate,8,11.7
union_membership_rate,9,11.6
union_membership_rate,10,12.1
union_membership_rate,11,11.6
union_membership_rate,12,11.3
union_membership_rate,13,11.2
union_membership_rate,14,11.1
trust_media_pct,1,44.0
trust_media_pct,2,40.0
trust_media_pct,3,44.0
trust_media_pct,4,40.0
trust_media_pct,5,40.0
trust_media_pct,6,32.0
trust_media_pct,7,41.0
trust_media_pct,8,45.0
trust_media_pct,9,41.0
trust_media_pct,10,40.0
trust_media_pct,11,36.0
trust_media_pct,12,34.0
trust_media_pct,13,32.0
trust_media_pct,14,31.0
vep_turnout_pct,1,
vep_turnout_pct,2,58.6
vep_turnout_pct,3,
vep_turnout_pct,4,36.7
vep_turnout_pct,5,
vep_turnout_pct,6,60.1
vep_turnout_pct,7,
vep_turnout_pct,8,50.0
vep_turnout_pct,9,
vep_turnout_pct,10,
vep_turnout_pct,11,
vep_turnout_pct,12,46.0
vep_turnout_pct,13,
vep_turnout_pct,14,
