indicator,horizon,truth
union_membership_rate,1,18.1
union_membership_rate,2,17.7
union_membership_rate,3,17.6
union_membership_rate,4,17.4
union_membership_rate,5,16.7
union_membership_rate,6,16.2
union_membership_rate,7,15.6
union_membership_rate,8,15.4
union_membership_rate,9,15.3
union_membership_rate,10,14.9
union_membership_rate,11,14.8
union_membership_rate,12,14.6
union_membership_rate,13,14.3
union_membership_rate,14,13.8
union_membership_rate,15,13.7
trust_media_pct,1,55.0
trust_media_pct,2,53.0
trust_media_pct,3,46.0
trust_media_pct,4,45.0
trust_media_pct,5,53.0
trust_media_pct,6,53.0
trust_media_pct,7,53.0
trust_media_pct,8,55.0
trust_media_pct,9,55.0
trust_media_pct,10,53.0
trust_media_pct,11,53.0
trust_media_pct,12,54.0
trust_media_pct,13,54.0
trust_media_pct,14,44.0
trust_media_pct,15,50.0
vep_turnout_pct,1,
vep_turnout_pct,2,58.1
vep_turnout_pct,3,
vep_turnout_pct,4,41.1
vep_turnout_pct,5,
vep_turnout_pct,6,51.7
vep_turnout_pct,7,
vep_turnout_pct,8,38.1
vep_turnout_pct,9,
vep_turnout_pct,10,54.2
vep_turnout_pct,11,
vep_turnout_pct,12,39.5
vep_turnout_pct,13,
vep_turnout_pct,14,60.1
vep_turnout_pct,15,
