indicator,horizon,truth
union_membership_rate,1,11.9
union_membership_rate,2,11.9
union_membership_rate,3,11.7
union_membership_rate,4,11.6
union_membership_rate,5,12.1
union_membership_rate,6,11.6
union_membership_rate,7,11.3
union_membership_rate,8,11.2
union_membership_rate,9,11.1
trust_media_pct,1,32.0
trust_media_pct,2,41.0
trust_media_pct,3,45.0
trust_media_pct,4,41.0
trust_media_pct,5,40.0
trust_media_pct,6,36.0
trust_media_pct,7,34.0
trust_media_pct,8,32.0
trust_media_pct,9,31.0
vep_turnout_pct,1,60.1
vep_turnout_pct,2,
vep_turnout_pct,3,50.0
vep_turnout_pct,4,
vep_turnout_pct,5,
vep_turnout_pct,6,
vep_turnout_pct,7,46.0
vep_turnout_pct,8,
vep_turnout_pct,9,
