indicator,horizon,truth
union_membership_rate,1,19.9
union_membership_rate,2,19.2
union_membership_rate,3,19.0
union_membership_rate,4,18.6
union_membership_rate,5,18.2
union_membership_rate,6,18.1
union_membership_rate,7,17.7
union_membership_rate,8,17.6
union_membership_rate,9,17.4
union_membership_rate,10,16.7
union_membership_rate,11,16.2
union_membership_rate,12,15.6
union_membership_rate,13,15.4
union_membership_rate,14,15.3
union_membership_rate,15,14.9
trust_media_pct,1,60.0
trust_media_pct,2,55.0
trust_media_pct,3,57.0
trust_media_pct,4,54.0
trust_media_pct,5,54.0
trust_media_pct,6,55.0
trust_media_pct,7,53.0
trust_media_pct,8,46.0
trust_media_pct,9,45.0
trust_media_pct,10,53.0
trust_media_pct,11,53.0
trust_media_pct,12,53.0
trust_media_pct,13,55.0
trust_media_pct,14,55.0
trust_media_pct,15,53.0
vep_turnout_pct,1,38.1
vep_turnout_pct,2,
vep_turnout_pct,3,52.8
vep_turnout_pct,4,
vep_turnout_pct,5,38.4
vep_turnout_pct,6,
vep_turnout_pct,7,58.1
vep_turnout_pct,8,
vep_turnout_pct,9,41.1
vep_turnout_pct,10,
vep_turnout_pct,11,51.7
vep_turnout_pct,12,
vep_turnout_pct,13,38.1
vep_turnout_pct,14,
vep_turnout_pct,15,54.2
