indicator,horizon,truth
union_membership_rate,1,11.6
union_membership_rate,2,11.3
union_membership_rate,3,11.2
union_membership_rate,4,11.1
trust_media_pct,1,36.0
trust_media_pct,2,34.0
trust_media_pct,3,32.0
trust_media_pct,4,31.0
vep_turnout_pct,1,
vep_turnout_pct,2,46.0
vep_turnout_pct,3,
vep_turnout_pct,4,
